time,open,high,low,close,volume
2026-05-05 09:15:00,26.0,26.05,26.0,26.0,101300
2026-05-05 09:16:00,26.0,26.1,26.0,26.0,38800
2026-05-05 09:17:00,26.05,26.1,26.0,26.0,12300
2026-05-05 09:18:00,26.05,26.05,26.0,26.0,2100
2026-05-05 09:19:00,26.0,26.0,26.0,26.0,1900
2026-05-05 09:20:00,26.0,26.05,26.0,26.0,11500
2026-05-05 09:21:00,26.0,26.05,26.0,26.05,8100
2026-05-05 09:22:00,26.05,26.05,26.0,26.0,159500
2026-05-05 09:23:00,26.0,26.0,26.0,26.0,45500
2026-05-05 09:24:00,25.95,26.0,25.95,26.0,16600
2026-05-05 09:25:00,26.0,26.0,25.95,26.0,50400
2026-05-05 09:26:00,26.0,26.0,25.95,26.0,4100
2026-05-05 09:27:00,26.0,26.0,25.95,26.0,10700
2026-05-05 09:28:00,26.0,26.0,25.95,25.95,7200
2026-05-05 09:29:00,26.0,26.0,25.95,26.0,2400
2026-05-05 09:30:00,25.95,26.0,25.95,25.95,36400
2026-05-05 09:31:00,25.95,26.0,25.95,25.95,15100
2026-05-05 09:32:00,25.95,26.0,25.95,25.95,39000
2026-05-05 09:33:00,25.95,26.0,25.95,26.0,6300
2026-05-05 09:34:00,26.0,26.0,25.95,26.0,482900
2026-05-05 09:35:00,26.0,26.05,26.0,26.0,59700
2026-05-05 09:36:00,26.0,26.05,26.0,26.05,21700
2026-05-05 09:37:00,26.0,26.05,26.0,26.05,13000
2026-05-05 09:38:00,26.0,26.05,25.95,26.0,96800
2026-05-05 09:39:00,26.0,26.05,25.95,26.0,35200
2026-05-05 09:40:00,26.0,26.05,25.95,26.0,20000
2026-05-05 09:41:00,26.0,26.0,25.95,26.0,43900
2026-05-05 09:42:00,26.0,26.0,25.95,26.0,56000
2026-05-05 09:43:00,26.0,26.0,25.95,26.0,16800
2026-05-05 09:44:00,26.0,26.0,25.95,26.0,17100
2026-05-05 09:45:00,26.0,26.0,25.95,25.95,84800
2026-05-05 09:46:00,25.95,26.0,25.95,26.0,17800
2026-05-05 09:47:00,26.0,26.0,25.95,25.95,32500
2026-05-05 09:48:00,25.95,26.0,25.95,26.0,48100
2026-05-05 09:49:00,26.0,26.0,25.95,26.0,4700
2026-05-05 09:50:00,26.0,26.0,26.0,26.0,700
2026-05-05 09:51:00,26.0,26.0,25.95,26.0,9100
2026-05-05 09:52:00,26.0,26.0,25.95,26.0,1700
2026-05-05 09:53:00,26.0,26.0,25.95,25.95,25600
2026-05-05 09:54:00,25.95,26.0,25.95,25.95,16100
2026-05-05 09:55:00,25.95,26.0,25.95,26.0,7600
2026-05-05 09:56:00,26.0,26.0,25.95,26.0,6100
2026-05-05 09:57:00,25.95,26.0,25.95,26.0,23600
2026-05-05 09:58:00,26.0,26.0,25.95,26.0,3100
2026-05-05 09:59:00,26.0,26.0,25.95,26.0,21000
2026-05-05 10:00:00,26.0,26.0,25.95,25.95,13200
2026-05-05 10:01:00,25.95,26.0,25.95,26.0,35700
2026-05-05 10:02:00,25.95,26.0,25.95,26.0,16700
2026-05-05 10:03:00,26.0,26.0,25.95,26.0,88600
2026-05-05 10:04:00,26.0,26.0,25.95,25.95,79900
2026-05-05 10:05:00,25.95,26.0,25.95,26.0,99400
2026-05-05 10:06:00,25.95,26.0,25.95,25.95,136600
2026-05-05 10:07:00,26.0,26.0,25.95,25.95,94300
2026-05-05 10:08:00,25.95,25.95,25.9,25.9,78500
2026-05-05 10:09:00,25.9,25.95,25.9,25.95,17100
2026-05-05 10:10:00,25.9,25.95,25.9,25.95,28300
2026-05-05 10:11:00,25.9,25.95,25.9,25.9,12800
2026-05-05 10:12:00,25.9,25.95,25.9,25.9,54500
2026-05-05 10:13:00,25.9,25.95,25.9,25.9,16600
2026-05-05 10:14:00,25.9,25.95,25.9,25.95,15100
2026-05-05 10:15:00,25.95,25.95,25.9,25.9,17900
2026-05-05 10:16:00,25.9,25.95,25.9,25.9,19100
2026-05-05 10:17:00,25.9,25.95,25.9,25.9,51400
2026-05-05 10:18:00,25.9,25.95,25.9,25.9,26800
2026-05-05 10:19:00,25.9,25.95,25.9,25.95,48400
2026-05-05 10:20:00,25.9,25.95,25.9,25.95,17400
2026-05-05 10:21:00,25.95,25.95,25.9,25.95,6200
2026-05-05 10:22:00,25.9,25.95,25.9,25.9,22400
2026-05-05 10:23:00,25.9,25.9,25.9,25.9,24900
2026-05-05 10:24:00,25.95,25.95,25.9,25.9,48900
2026-05-05 10:25:00,25.9,25.95,25.9,25.9,42700
2026-05-05 10:26:00,25.9,25.95,25.9,25.9,19300
2026-05-05 10:27:00,25.95,25.95,25.9,25.9,151500
2026-05-05 10:28:00,25.9,25.9,25.9,25.9,266800
2026-05-05 10:29:00,25.9,25.9,25.9,25.9,84100
2026-05-05 10:30:00,25.9,25.9,25.85,25.9,216300
2026-05-05 10:31:00,25.85,25.9,25.85,25.85,353400
2026-05-05 10:32:00,25.85,25.9,25.85,25.9,113700
2026-05-05 10:33:00,25.85,25.9,25.85,25.85,24800
2026-05-05 10:34:00,25.85,25.9,25.85,25.9,12800
2026-05-05 10:35:00,25.9,25.9,25.85,25.9,11700
2026-05-05 10:36:00,25.85,25.85,25.85,25.85,4600
2026-05-05 10:37:00,25.85,25.9,25.85,25.9,4900
2026-05-05 10:38:00,25.85,25.9,25.85,25.9,38600
2026-05-05 10:39:00,25.9,25.9,25.85,25.9,7100
2026-05-05 10:40:00,25.9,25.9,25.85,25.85,17300
2026-05-05 10:41:00,25.9,25.9,25.85,25.9,25800
2026-05-05 10:42:00,25.85,25.9,25.85,25.9,16300
2026-05-05 10:43:00,25.9,25.9,25.85,25.9,12000
2026-05-05 10:44:00,25.9,25.9,25.85,25.9,16600
2026-05-05 10:45:00,25.9,25.9,25.9,25.9,14400
2026-05-05 10:46:00,25.9,25.9,25.85,25.9,21600
2026-05-05 10:47:00,25.85,25.9,25.85,25.9,22800
2026-05-05 10:48:00,25.9,25.9,25.85,25.9,16000
2026-05-05 10:49:00,25.9,25.9,25.85,25.9,41800
2026-05-05 10:50:00,25.9,25.9,25.85,25.85,8000
2026-05-05 10:51:00,25.9,25.9,25.85,25.85,30800
2026-05-05 10:52:00,25.85,25.9,25.85,25.9,71800
2026-05-05 10:53:00,25.9,25.9,25.85,25.9,27200
2026-05-05 10:54:00,25.85,25.9,25.85,25.9,13700
2026-05-05 10:55:00,25.9,25.9,25.85,25.85,9300
2026-05-05 10:56:00,25.85,25.9,25.85,25.9,8400
2026-05-05 10:57:00,25.85,25.9,25.85,25.9,26700
2026-05-05 10:58:00,25.9,25.9,25.85,25.9,5500
2026-05-05 10:59:00,25.85,25.9,25.85,25.9,10100
2026-05-05 11:00:00,25.9,25.9,25.85,25.9,4600
2026-05-05 11:01:00,25.9,25.9,25.85,25.85,67700
2026-05-05 11:02:00,25.9,25.9,25.85,25.85,33600
2026-05-05 11:03:00,25.9,25.9,25.85,25.85,54600
2026-05-05 11:04:00,25.9,25.9,25.85,25.9,23400
2026-05-05 11:05:00,25.9,25.9,25.85,25.9,28200
2026-05-05 11:06:00,25.9,25.9,25.85,25.85,35100
2026-05-05 11:07:00,25.85,25.9,25.85,25.85,11600
2026-05-05 11:08:00,25.9,25.9,25.85,25.85,11800
2026-05-05 11:09:00,25.85,25.9,25.85,25.9,21800
2026-05-05 11:10:00,25.85,25.9,25.85,25.9,69300
2026-05-05 11:11:00,25.9,25.9,25.85,25.85,10000
2026-05-05 11:12:00,25.85,25.9,25.85,25.85,74000
2026-05-05 11:13:00,25.85,25.9,25.85,25.9,44800
