time,open,high,low,close,volume
2026-06-09 09:15:00,73.4,73.6,73.4,73.6,196700
2026-06-09 09:16:00,73.6,73.6,73.3,73.4,99400
2026-06-09 09:17:00,73.4,73.4,73.3,73.3,15300
2026-06-09 09:18:00,73.4,73.4,73.2,73.2,25100
2026-06-09 09:19:00,73.3,73.4,73.2,73.3,34200
2026-06-09 09:20:00,73.3,73.3,73.2,73.3,12400
2026-06-09 09:21:00,73.3,73.3,73.2,73.3,10000
2026-06-09 09:22:00,73.3,73.3,73.2,73.3,28600
2026-06-09 09:23:00,73.3,73.3,73.0,73.0,159000
2026-06-09 09:24:00,73.1,73.1,72.9,72.9,94100
2026-06-09 09:25:00,73.0,73.2,72.9,73.1,35800
2026-06-09 09:26:00,73.0,73.1,72.9,73.0,169600
2026-06-09 09:27:00,73.0,73.0,72.9,73.0,40500
2026-06-09 09:28:00,73.0,73.0,72.9,73.0,10700
2026-06-09 09:29:00,73.0,73.0,72.9,72.9,64500
2026-06-09 09:30:00,73.0,73.0,72.9,73.0,52900
2026-06-09 09:31:00,73.0,73.0,73.0,73.0,28800
2026-06-09 09:32:00,73.0,73.0,72.8,72.8,136000
2026-06-09 09:33:00,72.7,72.8,72.6,72.7,83600
2026-06-09 09:34:00,72.7,72.8,72.6,72.8,21100
2026-06-09 09:35:00,72.8,72.8,72.7,72.7,57400
2026-06-09 09:36:00,72.7,72.7,72.6,72.7,46200
2026-06-09 09:37:00,72.7,72.7,72.6,72.7,22200
2026-06-09 09:38:00,72.8,72.8,72.7,72.8,9200
2026-06-09 09:39:00,72.8,72.9,72.8,72.9,19400
2026-06-09 09:40:00,72.9,72.9,72.9,72.9,31900
2026-06-09 09:41:00,72.9,72.9,72.9,72.9,18500
2026-06-09 09:42:00,72.9,73.0,72.9,73.0,17600
2026-06-09 09:43:00,73.0,73.0,72.9,73.0,9600
2026-06-09 09:44:00,73.0,73.0,73.0,73.0,25600
2026-06-09 09:45:00,73.1,73.1,73.1,73.1,3700
2026-06-09 09:46:00,73.1,73.1,73.0,73.1,30500
2026-06-09 09:47:00,73.1,73.1,73.0,73.1,12800
2026-06-09 09:48:00,73.1,73.1,72.9,72.9,80500
2026-06-09 09:49:00,72.9,73.0,72.8,72.8,38100
2026-06-09 09:50:00,72.8,72.9,72.7,72.8,92600
2026-06-09 09:51:00,72.7,72.8,72.7,72.8,3600
2026-06-09 09:52:00,72.8,72.8,72.7,72.8,33700
2026-06-09 09:53:00,72.8,72.8,72.7,72.8,2700
2026-06-09 09:54:00,72.8,72.8,72.7,72.8,10000
2026-06-09 09:55:00,72.8,72.8,72.7,72.8,16400
2026-06-09 09:56:00,72.8,72.8,72.8,72.8,32200
2026-06-09 09:57:00,72.8,72.8,72.7,72.7,76800
2026-06-09 09:58:00,72.7,72.8,72.6,72.7,40800
2026-06-09 09:59:00,72.7,72.7,72.7,72.7,36100
2026-06-09 10:00:00,72.7,72.7,72.7,72.7,6600
2026-06-09 10:01:00,72.7,72.7,72.6,72.6,33100
2026-06-09 10:02:00,72.6,72.7,72.6,72.6,18000
2026-06-09 10:03:00,72.7,72.7,72.6,72.7,23600
2026-06-09 10:04:00,72.6,72.7,72.6,72.6,11500
2026-06-09 10:05:00,72.7,72.7,72.6,72.7,12300
2026-06-09 10:06:00,72.7,72.7,72.6,72.6,17800
2026-06-09 10:07:00,72.6,72.7,72.6,72.6,18100
2026-06-09 10:08:00,72.7,72.8,72.7,72.8,19800
2026-06-09 10:09:00,72.8,72.8,72.7,72.8,5000
2026-06-09 10:10:00,72.7,72.7,72.7,72.7,6800
2026-06-09 10:11:00,72.7,72.7,72.7,72.7,5900
2026-06-09 10:12:00,72.7,72.7,72.7,72.7,3700
2026-06-09 10:13:00,72.7,72.8,72.7,72.7,12400
2026-06-09 10:14:00,72.8,72.8,72.7,72.7,5600
2026-06-09 10:15:00,72.7,72.8,72.7,72.7,1800
2026-06-09 10:16:00,72.8,72.8,72.7,72.8,8300
2026-06-09 10:17:00,72.8,72.9,72.8,72.9,28600
2026-06-09 10:18:00,72.9,72.9,72.9,72.9,30100
2026-06-09 10:19:00,72.9,73.0,72.9,72.9,5800
2026-06-09 10:20:00,72.9,72.9,72.9,72.9,6400
2026-06-09 10:21:00,72.9,72.9,72.8,72.9,6600
2026-06-09 10:22:00,72.9,72.9,72.8,72.9,10300
2026-06-09 10:23:00,72.9,72.9,72.8,72.8,9000
2026-06-09 10:24:00,72.9,72.9,72.8,72.9,14700
2026-06-09 10:25:00,72.9,73.0,72.9,73.0,9400
2026-06-09 10:26:00,73.0,73.1,72.9,73.0,54400
2026-06-09 10:27:00,73.1,73.1,73.0,73.0,11800
2026-06-09 10:28:00,73.0,73.0,73.0,73.0,10400
2026-06-09 10:29:00,73.0,73.2,73.0,73.2,52700
2026-06-09 10:30:00,73.2,73.5,73.2,73.5,163900
2026-06-09 10:31:00,73.5,73.7,73.5,73.6,299000
2026-06-09 10:32:00,73.6,73.7,73.4,73.4,74200
2026-06-09 10:33:00,73.4,73.5,73.4,73.4,41100
2026-06-09 10:34:00,73.4,73.6,73.4,73.6,30600
2026-06-09 10:35:00,73.5,73.7,73.5,73.7,18400
2026-06-09 10:36:00,73.6,73.8,73.6,73.8,26200
2026-06-09 10:37:00,73.8,74.2,73.7,74.0,178700
2026-06-09 10:38:00,74.0,74.1,73.8,74.0,85800
2026-06-09 10:39:00,74.1,74.2,74.0,74.0,36600
2026-06-09 10:40:00,74.0,74.2,74.0,74.2,49700
2026-06-09 10:41:00,74.2,74.2,74.1,74.1,29200
2026-06-09 10:42:00,74.1,74.2,74.0,74.1,34800
2026-06-09 10:43:00,74.0,74.2,74.0,74.2,86100
2026-06-09 10:44:00,74.1,74.2,74.0,74.0,95300
2026-06-09 10:45:00,73.9,74.0,73.9,73.9,20600
2026-06-09 10:46:00,73.9,74.0,73.9,74.0,23500
2026-06-09 10:47:00,73.9,74.1,73.9,74.1,11300
2026-06-09 10:48:00,74.1,74.1,74.0,74.0,25500
2026-06-09 10:49:00,74.0,74.0,73.9,74.0,21100
2026-06-09 10:50:00,74.0,74.0,73.9,73.9,15600
2026-06-09 10:51:00,73.9,73.9,73.9,73.9,11200
2026-06-09 10:52:00,73.9,73.9,73.9,73.9,13300
2026-06-09 10:53:00,73.8,73.9,73.8,73.9,9800
2026-06-09 10:54:00,73.9,73.9,73.8,73.9,11300
2026-06-09 10:55:00,73.8,73.9,73.8,73.8,10200
2026-06-09 10:56:00,73.8,73.9,73.8,73.8,14600
2026-06-09 10:57:00,73.8,73.8,73.8,73.8,10000
2026-06-09 10:58:00,73.8,73.9,73.8,73.9,18400
2026-06-09 10:59:00,73.8,73.9,73.8,73.9,12700
2026-06-09 11:00:00,73.8,73.9,73.8,73.9,9700
2026-06-09 11:01:00,73.8,73.9,73.8,73.9,29500
2026-06-09 11:02:00,73.9,73.9,73.8,73.9,14800
2026-06-09 11:03:00,73.9,74.0,73.8,74.0,23100
2026-06-09 11:04:00,74.0,74.1,73.9,74.1,51300
2026-06-09 11:05:00,74.0,74.0,74.0,74.0,37400
2026-06-09 11:06:00,74.0,74.0,74.0,74.0,11500
2026-06-09 11:07:00,74.0,74.1,74.0,74.0,23200
2026-06-09 11:08:00,74.0,74.0,73.9,74.0,93300
2026-06-09 11:09:00,73.9,74.0,73.9,74.0,10700
2026-06-09 11:10:00,73.9,74.0,73.9,73.9,18400
2026-06-09 11:11:00,73.9,74.0,73.9,73.9,8000
2026-06-09 11:12:00,73.9,73.9,73.8,73.8,26500
2026-06-09 11:13:00,73.8,74.0,73.8,73.8,10200
2026-06-09 11:14:00,73.8,73.8,73.8,73.8,8500
2026-06-09 11:15:00,73.8,73.8,73.7,73.7,32400
2026-06-09 11:16:00,73.6,73.7,73.4,73.4,50600
2026-06-09 11:17:00,73.5,73.6,73.4,73.5,9200
2026-06-09 11:18:00,73.6,73.6,73.5,73.5,8600
2026-06-09 11:19:00,73.5,73.7,73.5,73.7,21000
2026-06-09 11:20:00,73.6,73.6,73.6,73.6,8200
2026-06-09 11:21:00,73.6,73.8,73.6,73.8,39100
2026-06-09 11:22:00,73.8,73.8,73.7,73.8,7600
2026-06-09 11:23:00,73.7,73.7,73.6,73.6,13600
2026-06-09 11:24:00,73.6,73.7,73.6,73.6,10300
2026-06-09 11:25:00,73.6,73.6,73.6,73.6,5800
2026-06-09 11:26:00,73.7,73.7,73.6,73.7,14000
2026-06-09 11:27:00,73.6,73.7,73.6,73.6,5300
