time,open,high,low,close,volume
2026-06-11 09:15:00,25.9,25.9,25.8,25.85,79200
2026-06-11 09:16:00,25.8,25.8,25.7,25.7,20100
2026-06-11 09:17:00,25.8,25.8,25.7,25.75,56300
2026-06-11 09:18:00,25.8,25.8,25.75,25.8,14000
2026-06-11 09:19:00,25.75,25.8,25.75,25.8,34800
2026-06-11 09:20:00,25.8,25.8,25.75,25.8,9600
2026-06-11 09:21:00,25.8,25.85,25.8,25.85,37900
2026-06-11 09:22:00,25.85,25.85,25.8,25.85,35000
2026-06-11 09:23:00,25.85,25.9,25.85,25.9,8200
2026-06-11 09:24:00,25.9,25.9,25.9,25.9,3000
2026-06-11 09:25:00,25.9,25.9,25.9,25.9,1100
2026-06-11 09:26:00,25.85,25.9,25.85,25.85,61200
2026-06-11 09:27:00,25.9,25.9,25.85,25.85,126600
2026-06-11 09:28:00,25.85,25.9,25.85,25.85,2300
2026-06-11 09:29:00,25.85,25.85,25.85,25.85,500
2026-06-11 09:30:00,25.9,25.9,25.9,25.9,4100
2026-06-11 09:31:00,25.9,25.9,25.9,25.9,700
2026-06-11 09:32:00,25.9,25.9,25.9,25.9,45100
2026-06-11 09:34:00,25.9,25.9,25.85,25.9,1500
2026-06-11 09:35:00,25.9,25.9,25.85,25.9,28700
2026-06-11 09:36:00,25.9,25.95,25.85,25.95,25800
2026-06-11 09:37:00,25.9,25.9,25.9,25.9,5500
2026-06-11 09:38:00,25.85,25.85,25.85,25.85,7700
2026-06-11 09:39:00,25.85,25.85,25.85,25.85,400
2026-06-11 09:40:00,25.85,25.85,25.85,25.85,400
2026-06-11 09:41:00,25.9,25.9,25.85,25.85,9200
2026-06-11 09:42:00,25.85,25.85,25.85,25.85,400
2026-06-11 09:43:00,25.85,25.9,25.85,25.9,900
2026-06-11 09:44:00,25.9,25.9,25.85,25.9,26000
2026-06-11 09:45:00,25.9,25.95,25.9,25.9,29500
2026-06-11 09:46:00,25.9,25.9,25.9,25.9,1200
2026-06-11 09:47:00,25.9,25.9,25.9,25.9,10900
2026-06-11 09:48:00,25.95,25.95,25.9,25.9,4900
2026-06-11 09:49:00,25.9,25.9,25.9,25.9,1600
2026-06-11 09:51:00,25.9,25.95,25.9,25.95,154600
2026-06-11 09:52:00,25.95,25.95,25.95,25.95,700
2026-06-11 09:53:00,25.95,25.95,25.95,25.95,900
2026-06-11 09:54:00,25.9,25.95,25.9,25.95,50700
2026-06-11 09:55:00,25.95,25.95,25.95,25.95,100
2026-06-11 09:56:00,25.95,25.95,25.95,25.95,82900
2026-06-11 09:57:00,25.95,25.95,25.9,25.95,14500
2026-06-11 09:58:00,26.0,26.0,26.0,26.0,4200
2026-06-11 09:59:00,26.0,26.0,26.0,26.0,5200
2026-06-11 10:00:00,26.0,26.05,26.0,26.05,125000
2026-06-11 10:01:00,26.0,26.0,26.0,26.0,13900
2026-06-11 10:02:00,26.0,26.0,26.0,26.0,500
2026-06-11 10:03:00,26.0,26.0,26.0,26.0,2200
2026-06-11 10:04:00,26.0,26.0,26.0,26.0,6300
2026-06-11 10:05:00,26.0,26.0,25.95,26.0,6000
2026-06-11 10:06:00,26.0,26.0,26.0,26.0,200
2026-06-11 10:07:00,25.95,25.95,25.95,25.95,2500
2026-06-11 10:08:00,25.95,26.0,25.95,26.0,4500
2026-06-11 10:10:00,26.0,26.0,26.0,26.0,1300
2026-06-11 10:11:00,26.0,26.0,26.0,26.0,53100
2026-06-11 10:12:00,26.0,26.0,26.0,26.0,900
2026-06-11 10:13:00,26.0,26.0,26.0,26.0,26000
2026-06-11 10:14:00,26.0,26.0,26.0,26.0,50200
2026-06-11 10:15:00,26.0,26.0,25.95,25.95,1000
2026-06-11 10:16:00,25.95,25.95,25.95,25.95,17900
2026-06-11 10:17:00,25.95,25.95,25.95,25.95,400
2026-06-11 10:18:00,25.95,25.95,25.95,25.95,6500
2026-06-11 10:19:00,25.95,25.95,25.95,25.95,2500
2026-06-11 10:20:00,25.95,26.0,25.95,26.0,3600
2026-06-11 10:23:00,26.0,26.0,25.95,26.0,14500
2026-06-11 10:24:00,26.0,26.0,26.0,26.0,600
2026-06-11 10:26:00,26.0,26.0,25.95,25.95,23400
2026-06-11 10:27:00,25.95,25.95,25.9,25.9,20200
2026-06-11 10:28:00,25.9,25.95,25.9,25.95,2700
2026-06-11 10:29:00,25.95,25.95,25.95,25.95,500
2026-06-11 10:30:00,25.95,25.95,25.95,25.95,700
2026-06-11 10:31:00,25.95,25.95,25.9,25.9,2300
2026-06-11 10:32:00,25.9,25.9,25.9,25.9,1600
2026-06-11 10:33:00,25.9,25.95,25.9,25.95,6600
2026-06-11 10:34:00,25.9,25.95,25.9,25.9,4400
2026-06-11 10:35:00,25.9,25.9,25.9,25.9,400
2026-06-11 10:36:00,25.95,25.95,25.95,25.95,100
2026-06-11 10:37:00,25.95,25.95,25.95,25.95,3900
2026-06-11 10:38:00,25.95,25.95,25.9,25.9,700
2026-06-11 10:39:00,25.9,25.95,25.9,25.9,4600
2026-06-11 10:40:00,25.9,25.95,25.9,25.95,50400
2026-06-11 10:41:00,25.95,25.95,25.9,25.9,7100
2026-06-11 10:42:00,25.95,25.95,25.95,25.95,300
2026-06-11 10:43:00,25.95,25.95,25.95,25.95,14500
2026-06-11 10:44:00,26.0,26.0,25.95,25.95,66000
2026-06-11 10:45:00,25.95,25.95,25.95,25.95,600
2026-06-11 10:46:00,25.95,25.95,25.95,25.95,3000
2026-06-11 10:47:00,25.95,26.0,25.95,25.95,120500
2026-06-11 10:48:00,25.95,25.95,25.95,25.95,4900
2026-06-11 10:49:00,25.95,25.95,25.95,25.95,100
2026-06-11 10:50:00,25.95,26.0,25.95,26.0,94200
2026-06-11 10:51:00,26.0,26.0,26.0,26.0,200
2026-06-11 10:52:00,25.95,26.0,25.95,26.0,227100
2026-06-11 10:53:00,26.0,26.0,25.95,25.95,462500
2026-06-11 10:54:00,26.0,26.0,25.95,25.95,6700
2026-06-11 10:55:00,25.95,25.95,25.95,25.95,700
2026-06-11 10:56:00,25.95,25.95,25.95,25.95,228500
2026-06-11 10:57:00,25.95,25.95,25.95,25.95,13800
2026-06-11 10:58:00,25.95,25.95,25.9,25.9,8500
2026-06-11 10:59:00,25.95,25.95,25.95,25.95,73700
2026-06-11 11:00:00,25.95,25.95,25.9,25.95,281100
2026-06-11 11:01:00,25.95,25.95,25.95,25.95,154200
2026-06-11 11:02:00,25.95,25.95,25.95,25.95,101200
2026-06-11 11:03:00,25.95,25.95,25.95,25.95,100700
2026-06-11 11:04:00,25.95,25.95,25.95,25.95,4400
2026-06-11 11:05:00,25.95,25.95,25.95,25.95,6000
2026-06-11 11:06:00,25.95,25.95,25.95,25.95,1000
2026-06-11 11:07:00,25.95,25.95,25.95,25.95,6500
2026-06-11 11:08:00,25.95,25.95,25.95,25.95,5300
2026-06-11 11:09:00,25.95,25.95,25.95,25.95,400
2026-06-11 11:10:00,25.95,25.95,25.9,25.95,4400
2026-06-11 11:11:00,25.95,25.95,25.9,25.9,100700
2026-06-11 11:12:00,25.9,25.9,25.9,25.9,1400
2026-06-11 11:13:00,25.9,25.9,25.9,25.9,1400
2026-06-11 11:14:00,25.9,25.9,25.9,25.9,400
2026-06-11 11:16:00,25.9,25.9,25.9,25.9,10400
2026-06-11 11:17:00,25.9,25.9,25.9,25.9,1700
2026-06-11 11:18:00,25.9,25.95,25.9,25.9,20300
2026-06-11 11:19:00,25.9,25.95,25.9,25.9,45600
2026-06-11 11:20:00,25.9,25.9,25.9,25.9,5100
2026-06-11 11:21:00,25.95,25.95,25.9,25.9,4500
2026-06-11 11:22:00,25.9,25.9,25.9,25.9,1000
2026-06-11 11:23:00,25.9,25.9,25.9,25.9,500
2026-06-11 11:24:00,25.9,25.95,25.9,25.95,9100
2026-06-11 11:25:00,25.95,25.95,25.95,25.95,200
2026-06-11 11:26:00,25.9,25.9,25.9,25.9,3600
2026-06-11 11:27:00,25.9,25.9,25.9,25.9,5900
2026-06-11 11:28:00,25.9,25.9,25.9,25.9,1000
2026-06-11 11:29:00,25.9,25.95,25.9,25.95,4200
2026-06-11 13:00:00,25.95,25.95,25.9,25.9,35200
2026-06-11 13:01:00,25.9,25.95,25.9,25.9,400
2026-06-11 13:02:00,25.9,25.9,25.9,25.9,900
2026-06-11 13:03:00,25.9,25.95,25.9,25.9,24500
2026-06-11 13:04:00,25.9,25.95,25.85,25.95,12000
2026-06-11 13:05:00,25.85,25.85,25.85,25.85,20000
2026-06-11 13:06:00,25.9,25.9,25.9,25.9,21400
2026-06-11 13:07:00,25.9,25.9,25.9,25.9,1000
2026-06-11 13:08:00,25.9,25.9,25.85,25.85,2300
2026-06-11 13:09:00,25.85,25.9,25.85,25.9,102500
2026-06-11 13:10:00,25.9,25.9,25.9,25.9,3300
2026-06-11 13:11:00,25.9,25.9,25.9,25.9,4800
2026-06-11 13:12:00,25.85,25.9,25.85,25.85,27000
2026-06-11 13:13:00,25.85,25.85,25.85,25.85,3800
2026-06-11 13:14:00,25.85,25.9,25.85,25.9,21700
2026-06-11 13:15:00,25.9,25.9,25.85,25.85,25200
2026-06-11 13:16:00,25.85,25.85,25.85,25.85,8700
2026-06-11 13:17:00,25.85,25.9,25.85,25.9,6700
2026-06-11 13:18:00,25.85,25.85,25.85,25.85,3000
2026-06-11 13:19:00,25.9,25.9,25.85,25.85,5000
2026-06-11 13:20:00,25.85,25.85,25.85,25.85,8500
2026-06-11 13:21:00,25.85,25.85,25.85,25.85,5100
2026-06-11 13:22:00,25.85,25.9,25.85,25.85,6200
2026-06-11 13:23:00,25.9,25.9,25.85,25.85,1900
2026-06-11 13:24:00,25.85,25.9,25.85,25.9,4700
2026-06-11 13:25:00,25.9,25.9,25.9,25.9,600
2026-06-11 13:26:00,25.85,25.85,25.85,25.85,18000
2026-06-11 13:27:00,25.85,25.85,25.85,25.85,3400
2026-06-11 13:28:00,25.85,25.85,25.85,25.85,400
2026-06-11 13:29:00,25.85,25.85,25.85,25.85,1600
2026-06-11 13:30:00,25.9,25.9,25.85,25.9,22600
